dropout,split,well,model,RMSE,MAE,R2,NSE
0.3,selection,孔隙水3,LSTM,0.18452126501158003,0.08150799152814242,0.926194783399687,0.926194783399687
0.3,selection,孔隙水3,Transformer,0.1939820150481738,0.08346848809276466,0.9184325011926792,0.9184325011926792
0.3,selection,孔隙水3,TCN,0.2077115821716078,0.11179260452562782,0.90647760067398,0.90647760067398
0.3,selection,孔隙水3,Stacking,0.18497187563559592,0.08451551950666238,0.9258338708199597,0.9258338708199597
0.4,selection,裂隙水1,Persistence,0.17702518653193453,0.11995833333333247,0.9714820614204666,0.9714820614204666
0.4,selection,裂隙水1,LSTM,0.169084527235864,0.11942533735783793,0.9739830882961732,0.9739830882961732
0.4,selection,裂隙水1,Transformer,0.14568485585624513,0.10027092033320693,0.9806857955117986,0.9806857955117986
0.4,selection,裂隙水1,TCN,0.22403824266143912,0.1728929114246289,0.9543235521130051,0.9543235521130051
0.4,selection,裂隙水1,Stacking,0.20556705253591476,0.16152611198408262,0.9615448043028495,0.9615448043028495
0.4,selection,裂隙水2,Persistence,0.07488602450835985,0.04516666666666692,0.9570182357801844,0.9570182357801844
0.4,selection,裂隙水2,LSTM,0.07121130707313354,0.04120739158489262,0.9611330375671295,0.9611330375671295
0.4,selection,裂隙水2,Transformer,0.06267098031903862,0.040006936269128344,0.9698965921698741,0.9698965921698741
0.4,selection,裂隙水2,TCN,0.07744866706763699,0.0509683621597168,0.9540261810168517,0.9540261810168517
0.4,selection,裂隙水2,Stacking,0.06930158375509823,0.04107290964044417,0.963189729789751,0.963189729789751
0.4,selection,裂隙水3,Persistence,0.12012493496356225,0.08791666666666641,0.9630720409181802,0.9630720409181802
0.4,selection,裂隙水3,LSTM,0.12241059380237763,0.08650989350856478,0.9616533893281917,0.9616533893281917
0.4,selection,裂隙水3,Transformer,0.10210404041691061,0.06904510086538582,0.9733206753940886,0.9733206753940886
0.4,selection,裂隙水3,TCN,0.13966370979276846,0.09853133921952507,0.9500821211958508,0.9500821211958508
0.4,selection,裂隙水3,Stacking,0.11678628677518765,0.08315148494793204,0.9650962029050166,0.9650962029050166
0.4,selection,岩溶水1,Persistence,0.7958081679564795,0.37678762500000124,0.8959581637189312,0.8959581637189312
0.4,selection,岩溶水1,LSTM,0.75255642686418,0.36004501607393896,0.9069600727769365,0.9069600727769365
0.4,selection,岩溶水1,Transformer,0.7892942213906327,0.4008019388859071,0.8976544249507012,0.8976544249507012
0.4,selection,岩溶水1,TCN,0.7546016982463072,0.4011814953683777,0.906453664279025,0.906453664279025
0.4,selection,岩溶水1,Stacking,0.7446617811804078,0.39026218566410026,0.9089018927662865,0.9089018927662865
0.4,selection,岩溶水2,Persistence,0.17737719511081998,0.10419870833333392,0.8376818469823498,0.8376818469823498
0.4,selection,岩溶水2,LSTM,0.15836716710449764,0.1063253231026304,0.8706096694567727,0.8706096694567727
0.4,selection,岩溶水2,Transformer,0.1533521535951286,0.09815139838475086,0.8786747248499712,0.8786747248499712
0.4,selection,岩溶水2,TCN,0.16171502550479117,0.11247238584866939,0.8650812610270294,0.8650812610270294
0.4,selection,岩溶水2,Stacking,0.1648839308955804,0.10535438373828043,0.8597418224835293,0.8597418224835293
0.4,selection,岩溶水3,Persistence,0.1059638303070127,0.06716666666666811,0.9186810066112293,0.9186810066112293
0.4,selection,岩溶水3,LSTM,0.08893826480004287,0.05094368889622937,0.9427132741811091,0.9427132741811091
0.4,selection,岩溶水3,Transformer,0.09066523893569867,0.05388069827835101,0.940466924640228,0.940466924640228
0.4,selection,岩溶水3,TCN,0.10185770234886017,0.06205304878767232,0.9248611666210341,0.9248611666210341
0.4,selection,岩溶水3,Stacking,0.09600652992427586,0.05584558714374026,0.9332458542505098,0.9332458542505098
0.4,selection,孔隙水1,Persistence,0.07395913941865573,0.04582871930670009,0.935223848241917,0.935223848241917
0.4,selection,孔隙水1,LSTM,0.0751260395556135,0.04782181236960259,0.933163694614169,0.933163694614169
0.4,selection,孔隙水1,Transformer,0.07262607466434264,0.04605558673761324,0.93753789887372,0.93753789887372
