split,well,seed,scenario_id,aquifer,model_a,model_b,p_a_better_than_b,p_b_better_than_a,a_win_rate,b_win_rate,tie_rate,dominates,dominance_label,loss
test,裂隙水2,,裂隙水2,裂隙水2,Transformer,LSTM,0.8168,0.1832,0.8168,0.1832,0.0,False,trend,squared
test,裂隙水2,,裂隙水2,裂隙水2,LSTM,TCN,0.9792,0.0208,0.9792,0.0208,0.0,True,reproducible,squared
test,裂隙水2,,裂隙水2,裂隙水2,TCN,LSTM,0.0208,0.9792,0.0208,0.9792,0.0,False,unstable,squared
test,裂隙水2,,裂隙水2,裂隙水2,LSTM,DynamicGatedStacking,0.068,0.932,0.068,0.932,0.0,False,unstable,squared
test,裂隙水2,,裂隙水2,裂隙水2,DynamicGatedStacking,LSTM,0.932,0.068,0.932,0.068,0.0,False,trend,squared
test,裂隙水2,,裂隙水2,裂隙水2,Transformer,TCN,0.9576,0.0424,0.9576,0.0424,0.0,True,reproducible,squared
test,裂隙水2,,裂隙水2,裂隙水2,TCN,Transformer,0.0424,0.9576,0.0424,0.9576,0.0,False,unstable,squared
test,裂隙水2,,裂隙水2,裂隙水2,Transformer,DynamicGatedStacking,0.4058,0.5942,0.4058,0.5942,0.0,False,unstable,squared
test,裂隙水2,,裂隙水2,裂隙水2,DynamicGatedStacking,Transformer,0.5942,0.4058,0.5942,0.4058,0.0,False,unstable,squared
test,裂隙水2,,裂隙水2,裂隙水2,TCN,DynamicGatedStacking,0.0138,0.9862,0.0138,0.9862,0.0,False,unstable,squared
test,裂隙水2,,裂隙水2,裂隙水2,DynamicGatedStacking,TCN,0.9862,0.0138,0.9862,0.0138,0.0,True,reproducible,squared
test,裂隙水3,,裂隙水3,裂隙水3,LSTM,Transformer,0.0,1.0,0.0,1.0,0.0,False,unstable,squared
test,裂隙水3,,裂隙水3,裂隙水3,Transformer,LSTM,1.0,0.0,1.0,0.0,0.0,True,reproducible,squared
test,裂隙水3,,裂隙水3,裂隙水3,LSTM,TCN,0.9304,0.0696,0.9304,0.0696,0.0,False,trend,squared
test,裂隙水3,,裂隙水3,裂隙水3,TCN,LSTM,0.0696,0.9304,0.0696,0.9304,0.0,False,unstable,squared
