split,well,seed,scenario_id,aquifer,model,loss,bootstrap_method,block_size,mean_risk,risk_q05,risk_q50,risk_q95,n_points
test,岩溶水5,,岩溶水5,岩溶水5,Transformer,squared,block,8,0.0802377946809989,0.05251715335393042,0.07917879554299428,0.11172704201089793,71
test,岩溶水5,,岩溶水5,岩溶水5,TCN,squared,block,8,0.08817154673537252,0.04962066298177042,0.08617149130806852,0.13524437164864717,71
test,岩溶水5,,岩溶水5,岩溶水5,DynamicGatedStacking,squared,block,8,0.08296097533624781,0.051534480245041966,0.08139913826242678,0.11969198462343897,71
test,裂隙水1,,裂隙水1,裂隙水1,LSTM,squared,block,8,0.1461980894025219,0.1052122480137365,0.14500127977723187,0.1911974587867522,71
test,裂隙水1,,裂隙水1,裂隙水1,Transformer,squared,block,8,0.12302947543473765,0.07875786764328588,0.12204355564823985,0.1712425955175459,71
test,裂隙水1,,裂隙水1,裂隙水1,TCN,squared,block,8,0.21078000573912323,0.14049676033597394,0.20988520346345668,0.2839803593525,71
test,裂隙水1,,裂隙水1,裂隙水1,DynamicGatedStacking,squared,block,8,0.13625230617532308,0.09414838500424927,0.13493442967965674,0.18248988625382656,71
test,裂隙水2,,裂隙水2,裂隙水2,LSTM,squared,block,8,0.03817267356929246,0.019932259092943095,0.037414381178919084,0.05880282319986415,71
test,裂隙水2,,裂隙水2,裂隙水2,Transformer,squared,block,8,0.03325684771242481,0.011283444567782193,0.0316569448476596,0.060516832929674615,71
test,裂隙水2,,裂隙水2,裂隙水2,TCN,squared,block,8,0.053328026950818536,0.03870356059279396,0.053027171369619014,0.06873007805189622,71
test,裂隙水2,,裂隙水2,裂隙水2,DynamicGatedStacking,squared,block,8,0.03251514256552152,0.012748315216285205,0.03124758066517361,0.05683155808222846,71
test,裂隙水3,,裂隙水3,裂隙水3,LSTM,squared,block,8,0.009020855425042704,0.006770692454162558,0.008875526889126233,0.011675684540296927,71
test,裂隙水3,,裂隙水3,裂隙水3,Transformer,squared,block,8,0.00444435934841741,0.0028950137443753444,0.0043663312333820144,0.006234215230305122,71
test,裂隙水3,,裂隙水3,裂隙水3,TCN,squared,block,8,0.011835723504222045,0.00883365488366174,0.011756842475469532,0.015102892034669406,71
test,裂隙水3,,裂隙水3,裂隙水3,DynamicGatedStacking,squared,block,8,0.0048506472504622035,0.0035434273370069796,0.0048254831143924575,0.006216622800479436,71
test,裂隙水4,,裂隙水4,裂隙水4,LSTM,squared,block,8,0.003389708699072959,0.002308544682854066,0.0033651173350082294,0.004501690838146793,71
test,裂隙水4,,裂隙水4,裂隙水4,Transformer,squared,block,8,0.0035821235194439796,0.002468022520882006,0.0035598863044170436,0.00475252307971945,71
test,裂隙水4,,裂隙水4,裂隙水4,TCN,squared,block,8,0.003988316378678271,0.0028328877940893187,0.003962646456727479,0.005211676228862358,71
test,裂隙水4,,裂隙水4,裂隙水4,DynamicGatedStacking,squared,block,8,0.003144642075925666,0.0021309480756317783,0.0031339200588523432,0.004192751924447856,71
test,裂隙水5,,裂隙水5,裂隙水5,LSTM,squared,block,8,0.006314306413047585,0.0038328188740250125,0.006186629193804732,0.00923512704349873,71
test,裂隙水5,,裂隙水5,裂隙水5,Transformer,squared,block,8,0.0049982997157961475,0.0029967712138980404,0.0048819884259083,0.007404100383644638,71
test,裂隙水5,,裂隙水5,裂隙水5,TCN,squared,block,8,0.007088941005886993,0.004823629817288498,0.0069255340437091705,0.009878122240357707,71
test,裂隙水5,,裂隙水5,裂隙水5,DynamicGatedStacking,squared,block,8,0.004365294576511936,0.0026057055792189196,0.00428270739215699,0.0064277814327933025,71
