split,aquifer_type,well,model,RMSE,MAE,R2,NSE
future_holdout,孔隙水,孔隙水2,Stacking,0.35598137301206895,0.30421718733920594,0.7514891218081824,0.7514891218081824
test,孔隙水,孔隙水3,Persistence,0.12226188073015595,0.07186991869918702,0.9671161022417512,0.9671161022417512
test,孔隙水,孔隙水3,LSTM,0.12335881653065241,0.07233518677434331,0.9665233853347337,0.9665233853347337
test,孔隙水,孔隙水3,Transformer,0.1306716514359995,0.07664270927315285,0.9624366856712795,0.9624366856712795
test,孔隙水,孔隙水3,TCN,0.1657058093598888,0.11173586035519946,0.9395944819188989,0.9395944819188989
test,孔隙水,孔隙水3,Stacking,0.12784678358766946,0.0804499402079029,0.9640432229175101,0.9640432229175101
future_holdout,孔隙水,孔隙水3,Persistence,0.2687874004983663,0.23533333333333814,-3.2838507352554567,-3.2838507352554567
future_holdout,孔隙水,孔隙水3,LSTM,0.07161319340857512,0.053327507743387535,0.6959096793366542,0.6959096793366542
future_holdout,孔隙水,孔隙水3,Transformer,0.07612937511559299,0.05124484892781235,0.6563462828795171,0.6563462828795171
future_holdout,孔隙水,孔隙水3,TCN,0.1641697690944242,0.15222412817278866,-0.5980960955083932,-0.5980960955083932
future_holdout,孔隙水,孔隙水3,Stacking,0.0653246200849558,0.047657694394357956,0.7469709988984754,0.7469709988984754
