lookback,split,well,model,RMSE,MAE,R2,NSE
26,selection,孔隙水3,Transformer,0.19778969357388082,0.08131083467593238,0.9154070605180549,0.9154070605180549
26,selection,孔隙水3,TCN,0.208096202329642,0.10906470225162655,0.906361357235086,0.906361357235086
26,selection,孔隙水3,Stacking,0.18829905824110824,0.08263345629503067,0.9233304177456949,0.9233304177456949
32,selection,裂隙水1,Persistence,0.18521275790392022,0.12426778242677748,0.9702371466137975,0.9702371466137975
32,selection,裂隙水1,LSTM,0.17291488648475947,0.12392458711113209,0.9740583535887252,0.9740583535887252
32,selection,裂隙水1,Transformer,0.1476594329316395,0.09932894727758525,0.9810828738403093,0.9810828738403093
32,selection,裂隙水1,TCN,0.22525049348383755,0.16961966403399995,0.9559785574501918,0.9559785574501918
32,selection,裂隙水1,Stacking,0.201497583023419,0.1539977056271237,0.9647732603258592,0.9647732603258592
32,selection,裂隙水2,Persistence,0.0753901983574005,0.045732217573221906,0.9564510761023877,0.9564510761023877
32,selection,裂隙水2,LSTM,0.0660332246756502,0.038730412450851126,0.9665902928872178,0.9665902928872178
32,selection,裂隙水2,Transformer,0.06737172881129008,0.04396769432432838,0.9652221252002106,0.9652221252002106
32,selection,裂隙水2,TCN,0.07302338164953748,0.04561139718205019,0.9591425236694316,0.9591425236694316
32,selection,裂隙水2,Stacking,0.06538167271755133,0.04103518648516991,0.9672463494898241,0.9672463494898241
32,selection,裂隙水3,Persistence,0.12465517291268442,0.09012552301255203,0.9601750696004434,0.9601750696004434
32,selection,裂隙水3,LSTM,0.11924557064853371,0.08271804654078117,0.963556596714267,0.963556596714267
32,selection,裂隙水3,Transformer,0.10559598363245183,0.07159097917817366,0.9714221722275382,0.9714221722275382
32,selection,裂隙水3,TCN,0.14252631584282283,0.10286461705883873,0.9479375582332593,0.9479375582332593
32,selection,裂隙水3,Stacking,0.11454343485990641,0.08161982024646325,0.9663740301525482,0.9663740301525482
32,selection,岩溶水1,Persistence,0.8693559786539323,0.4111768619246872,0.8829841187944216,0.8829841187944216
32,selection,岩溶水1,LSTM,0.8166511344807563,0.4046192991284958,0.8967422502071365,0.8967422502071365
32,selection,岩溶水1,Transformer,0.8434273083838352,0.4174434846895748,0.8898600603824478,0.8898600603824478
32,selection,岩溶水1,TCN,0.8568052316630266,0.4596482768345737,0.8863384075398413,0.8863384075398413
32,selection,岩溶水1,Stacking,0.8474467036497916,0.43321224096532623,0.8888078042072098,0.8888078042072098
32,selection,岩溶水2,Persistence,0.1777820553643942,0.10470874476987502,0.8387710509537152,0.8387710509537152
32,selection,岩溶水2,LSTM,0.15853512798145963,0.10875235476921535,0.8717910945504104,0.8717910945504104
32,selection,岩溶水2,Transformer,0.15807096345954205,0.10166901137126276,0.8725407442756854,0.8725407442756854
32,selection,岩溶水2,TCN,0.16518273302600275,0.1139146995777322,0.8608137057048804,0.8608137057048804
32,selection,岩溶水2,Stacking,0.18068887278755802,0.11954921220391379,0.8334556152112966,0.8334556152112966
32,selection,岩溶水3,Persistence,0.12345373577066181,0.07416255230125667,0.9030165018010152,0.9030165018010152
32,selection,岩溶水3,LSTM,0.1093478005584638,0.0594720739408315,0.9239131725072365,0.9239131725072365
32,selection,岩溶水3,Transformer,0.10221162378613351,0.057150928698214934,0.933520162722825,0.933520162722825
32,selection,岩溶水3,TCN,0.12329675973456726,0.0703370599045328,0.9032629812780835,0.9032629812780835
32,selection,岩溶水3,Stacking,0.1131471741226862,0.06215755060566819,0.9185339244065929,0.9185339244065929
32,selection,孔隙水1,Persistence,0.07391726214985485,0.04560206122848547,0.9390019215935927,0.9390019215935927
32,selection,孔隙水1,LSTM,0.07737438513939668,0.04953238857171947,0.9331627103007138,0.9331627103007138
32,selection,孔隙水1,Transformer,0.07129599331408316,0.042317271044416876,0.9432514646592081,0.9432514646592081
32,selection,孔隙水1,TCN,0.08936078451982848,0.05983919769139878,0.9108506143616539,0.9108506143616539
32,selection,孔隙水1,Stacking,0.07470653810408204,0.04522849294121958,0.937692312618785,0.937692312618785
32,selection,孔隙水2,Persistence,0.32841351879991476,0.2395815899581573,0.90646860930644,0.90646860930644
32,selection,孔隙水2,LSTM,0.2938669352324574,0.21647483605912413,0.9251112145910418,0.9251112145910418
32,selection,孔隙水2,Transformer,0.3019960286222353,0.22264976233044612,0.920910686968108,0.920910686968108
32,selection,孔隙水2,TCN,0.30043774176869464,0.22610482821181843,0.9217247762844292,0.9217247762844292
32,selection,孔隙水2,Stacking,0.32335531804757606,0.23410927622959568,0.9093275489909238,0.9093275489909238
32,selection,孔隙水3,Persistence,0.17629022286509358,0.08665271966527194,0.9335179196125416,0.9335179196125416
32,selection,孔隙水3,LSTM,0.18950917658168925,0.08073750015357568,0.9231739266200732,0.9231739266200732
32,selection,孔隙水3,Transformer,0.20292266405827342,0.08306663799127685,0.9119135194920237,0.9119135194920237
32,selection,孔隙水3,TCN,0.209498466365772,0.11016650918646745,0.9061120527879223,0.9061120527879223
32,selection,孔隙水3,Stacking,0.18732527415140315,0.08800373749801801,0.9249344102004616,0.9249344102004616
38,selection,裂隙水1,Persistence,0.18559692477892661,0.12470588235294049,0.9702305543320671,0.9702305543320671
38,selection,裂隙水1,LSTM,0.1564225159525032,0.11093506960019892,0.9788540242531806,0.9788540242531806
38,selection,裂隙水1,Transformer,0.15321020721013084,0.10091342283917278,0.9797136181589859,0.9797136181589859
38,selection,裂隙水1,TCN,0.20757358122249198,0.15563962897891984,0.9627631142544112,0.9627631142544112
38,selection,裂隙水1,Stacking,0.19279494918889956,0.14828535550984348,0.9678766743680558,0.9678766743680558
38,selection,裂隙水2,Persistence,0.07544824036907626,0.045672268907563165,0.9565194754527203,0.9565194754527203
38,selection,裂隙水2,LSTM,0.06670769537715884,0.03869506107939601,0.9660102149929409,0.9660102149929409
38,selection,裂隙水2,Transformer,0.0602770906767717,0.038706908754892216,0.9722475640523737,0.9722475640523737
