split,aquifer_type,well,model,RMSE,MAE,R2,NSE,PICP95,MPIW95,TAU_INIT
test,孔隙水,孔隙水2,Stacking,0.3476705695715838,0.2698021437976842,0.8732215139149356,0.8732215139149356,0.975609756097561,1.5957174480163563,0.35139310630088294
future_holdout,孔隙水,孔隙水2,Persistence,0.7443307956368213,0.7016666666666747,-0.08648274103878228,-0.08648274103878228,,,
future_holdout,孔隙水,孔隙水2,LSTM,0.39991956813042195,0.29356238359651454,0.6863565906837465,0.6863565906837465,,,
future_holdout,孔隙水,孔隙水2,Transformer,0.5297160535651246,0.4333594115180366,0.4497283656109704,0.4497283656109704,,,
future_holdout,孔隙水,孔隙水2,TCN,0.31663200255921453,0.2693344185129509,0.8033923230166511,0.8033923230166511,,,
future_holdout,孔隙水,孔隙水2,Stacking,0.3172596717619808,0.27837013689397355,0.8026120677222247,0.8026120677222247,1.0,1.54194906007923,0.35139310630088294
test,孔隙水,孔隙水3,Persistence,0.12226188073015595,0.07186991869918702,0.9671161022417512,0.9671161022417512,,,
test,孔隙水,孔隙水3,LSTM,0.13249474791952562,0.08284255069340853,0.9613812269890355,0.9613812269890355,,,
test,孔隙水,孔隙水3,Transformer,0.16466736095778858,0.11110342548663647,0.9403492105720487,0.9403492105720487,,,
test,孔隙水,孔隙水3,TCN,0.20425187058928532,0.13684768413829082,0.9082231325654362,0.9082231325654362,,,
test,孔隙水,孔隙水3,Stacking,0.14867328088428036,0.09762498819646452,0.9513741735443104,0.9513741735443104,0.8455284552845529,0.3489099819595642,0.2075090076161407
future_holdout,孔隙水,孔隙水3,Persistence,0.2687874004983663,0.23533333333333814,-3.2838507352554567,-3.2838507352554567,,,
future_holdout,孔隙水,孔隙水3,LSTM,0.11329614920068,0.08755939009108478,0.23889107670556042,0.23889107670556042,,,
future_holdout,孔隙水,孔隙水3,Transformer,0.08124648540336496,0.05824229264005254,0.6085956193433301,0.6085956193433301,,,
future_holdout,孔隙水,孔隙水3,TCN,0.21350362099782216,0.20180094273221888,-1.7028815001095632,-1.7028815001095632,,,
future_holdout,孔隙水,孔隙水3,Stacking,0.13113150014996025,0.09947674055024815,-0.019601756339332477,-0.019601756339332477,0.6666666666666666,0.25997856941136205,0.2075090076161407
